Street code,Date ,Start Time,End Time,Temperature (°C),Cloud Cover code,Beaufort scale ,Day of Week ,Species ,Bird Scientific Name ,Behaviour,Time of Observation,Plant species,Scientific Name ,DBH,Notes
S05,24/05/2024,7:27,7:48,17,4,4,Friday,HOSP,Passer domesticus,Perch,7:30,Norway maple,Acer platanoides,20,
S05,24/05/2024,7:27,7:48,17,4,4,Friday,CHSP,Spizella passerina,Vocalize,7:34,Norway maple,Acer platanoides,20,
S05,24/05/2024,7:27,7:48,17,4,4,Friday,CHSP,Spizella passerina,Carry nesting material,7:37,Norway maple,Acer platanoides,20,
S05,24/05/2024,7:27,7:48,17,4,4,Friday,CHSP,Spizella passerina,Perch,7:37,Norway maple,Acer platanoides,20,
S05,24/05/2024,7:27,7:48,17,4,4,Friday,HOSP,Passer domesticus,Vocalize,7:44,Norway maple,Acer platanoides,20,
S05,24/05/2024,7:27,7:48,17,4,4,Friday,HOSP,Passer domesticus,Vocalize,7:48,Norway maple,Acer platanoides,20,
S11,24/05/2024,8:11,8:31,17,4,4,Friday,CHSP,Spizella passerina,Perch,8:17,American elm,Ulmus americana,50,"Very windy, light rain just before survey"
S11,24/05/2024,8:11,8:31,17,4,4,Friday,CHSP,Spizella passerina,Perch,8:17,American elm,Ulmus americana,50,
S10,24/05/2024,8:41,9:01,17,1,4,Friday,HOSP,Passer domesticus,Hop,8:47,Ground,NA,NA,
S10,24/05/2024,8:41,9:01,17,1,4,Friday,HOSP,Passer domesticus,Hop,8:53,Ground,NA,NA,
S10,24/05/2024,8:41,9:01,17,1,4,Friday,HOSP,Passer domesticus,Glean,8:54,Common lilac,Syringa vulgaris,5,Picture with bush***
S10,24/05/2024,8:41,9:01,17,1,4,Friday,HOSP,Passer domesticus,Perch,8:54,Sugar maple,Acer saccharum,25,
S10,24/05/2024,8:41,9:01,17,1,4,Friday,HOSP,Passer domesticus,Carry nesting material,8:58,Ground,NA,NA,
S10,24/05/2024,8:41,9:01,17,1,4,Friday,HOSP,Passer domesticus,Perch,9:01,Sugar maple,Acer saccharum,5,
S10,24/05/2024,8:41,9:01,17,1,4,Friday,HOSP,Passer domesticus,Perch,9:01,Sugar maple,Acer saccharum,5,
S10,24/05/2024,8:41,9:01,17,1,4,Friday,HOSP,Passer domesticus,Perch,9:01,Sugar maple,Acer saccharum,5,
S10,24/05/2024,8:41,9:01,17,1,4,Friday,HOSP,Passer domesticus,Forage,9:01,Ground,NA,NA,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Vocalize,9:24,Red ash,Fraxinus pennsylvanica,50,YEWA heard near train tracks
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Preen,9:26,Red ash,Fraxinus pennsylvanica,40,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,CHSP,Spizella passerina,Perch,9:26,Red ash,Fraxinus pennsylvanica,40,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Perch,9:28,Red ash,Fraxinus pennsylvanica,40,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Bill wipe,9:28,Northern acclaim honeylocust ,Gleditsia triacanthos 'Harve',5,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Perch,9:30,Northern acclaim honeylocust ,Gleditsia triacanthos 'Harve',5,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Collect nesting material,9:31,Ground,NA,NA,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Collect nesting material,9:31,Ground,NA,NA,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Collect nesting material,9:31,Ground,NA,NA,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Hop,9:31,Red ash,Fraxinus pennsylvanica,40,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Vocalize,9:32,Red ash,Fraxinus pennsylvanica,30,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Collect nesting material,9:32,Red ash,Fraxinus pennsylvanica,30,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Carry nesting material,9:34,Ground,NA,5,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Preen,9:34,Red ash,Fraxinus pennsylvanica,30,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Perch,9:38,Common hackberry,Celtis occidentalis,5,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Vocalize,9:38,Common hackberry,Celtis occidentalis,5,
S09,24/05/2024,9:18,9:38,17,1,4,Friday,HOSP,Passer domesticus,Bill wipe,9:38,Common hackberry,Celtis occidentalis,5,
S21,28/05/2024,8:29,8:49,18,4,4,Tuesday,WBNU,Sita carolinensis,Peck,8:38,Silver maple,Acer saccharinum,85,Large tree farthest from the intersection
S21,28/05/2024,8:29,8:49,18,4,4,Tuesday,HOSP,Passer domesticus,Bill wipe,8:46,Silver maple,Acer saccharinum,66,"Young, round tree in the middle of the transect"
S21,28/05/2024,8:29,8:49,18,4,4,Tuesday,HOSP,Passer domesticus,Vocalize,8:46,Silver maple,Acer saccharinum,66,
S21,28/05/2024,8:29,8:49,18,4,4,Tuesday,AMRO,Turdus migratorius,Vocalize,8:48,Kentucky coffeetree,Gymnocladus dioicus,7,Windy. Heard REVI and CEDW flock vocalizations
S19,28/05/2024,9:03,9:23,17,4,4,Tuesday,,,,,,,,Windy.
S15,29/05/2024,7:54,8:14,13,1,2,Wednesday ,EUST,Sturnus vulgaris,Gape,7:58,Ground,NA,NA,Construction
