Yard Code,Species Code,Species Latin,Sampled area (m) ,Sampled Area (ha),DBH(cm) ,DBH Round,Presence of hedge ,basal,Index,,,,,,,,,,,,,,,,,,,,,,,,
Y81,MGXXSU,Magnolia 'Susan',330,0.033,16.6,17,yes,0.021642482,609,,,,,,,,,,,,,,,,,,,,,,,,
Y81,TACA,Taxus Canadensis,330,0.033,12.8,13,yes,0.012867994,610,,,,,,,,,,,,,,,,,,,,,,,,
Y81,PIAB,Picea Abies,330,0.033,5.2,5,yes,0.002123722,611,,,,,,,,,,,,,,,,,,,,,,,,
Y81,CTCO,Cotinus Coggygria,330,0.033,30,30,yes,0.070686,612,,,,,,,,,,,,,,,,,,,,,,,,
Y81,TACA,Taxus Canadensis,330,0.033,11.4,11,yes,0.010207058,614,,,,,,,,,,,,,,,,,,,,,,,,
Y81,ACPA,Acer Palmatum,330,0.033,35.9,36,yes,0.101223137,615,,,,,,,,,,,,,,,,,,,,,,,,
Y81,CHNO,Chamaecyparis Nootkatensis,330,0.033,11.6,12,yes,0.010568342,616,,,,,,,,,,,,,,,,,,,,,,,,
Y81,ACPA,Acer Palmatum,330,0.033,7.1,7,yes,0.003959201,617,,,,,,,,,,,,,,,,,,,,,,,,
Y81,ACPA,Acer Palmatum,330,0.033,8.4,8,yes,0.005541782,618,,,,,,,,,,,,,,,,,,,,,,,,
Y81,SYRE,Syringa Reticulata,330,0.033,36.4,36,yes,0.104062358,619,,,,,,,,,,,,,,,,,,,,,,,,
Y81,CHPI,Chamaecyparis Pisifera,330,0.033,4.4,4,yes,0.001520534,623,,,,,,,,,,,,,,,,,,,,,,,,
Y81,TACA,Taxus Canadensis,330,0.033,4.8,5,yes,0.001809562,624,,,,,,,,,,,,,,,,,,,,,,,,
Y81,GIBI,Gingko Biloba,330,0.033,22.7,23,yes,0.040470877,630,,,,,,,,,,,,,,,,,,,,,,,,
Y82,PRVI,Prunus Virginiana,410,0.041,4.6,5,no,0.001661906,631,,,,,,,,,,,,,,,,,,,,,,,,
Y82,LYCH,Lycium Chinese,410,0.041,29,29,no,0.06605214,632,,,,,,,,,,,,,,,,,,,,,,,,
Y82,ROWO,Rosa Woodsii,410,0.041,12.1,12,no,0.011499041,633,,,,,,,,,,,,,,,,,,,,,,,,
Y82,ROWO,Rosa Woodsii,410,0.041,15.4,15,no,0.018626546,634,,,,,,,,,,,,,,,,,,,,,,,,
Y82,LOMA,Lonicera Maackii,410,0.041,29.1,29,no,0.066508457,635,,,,,,,,,,,,,,,,,,,,,,,,
Y82,RHCA,Rhamnus Cathartica,410,0.041,30.7,31,no,0.074023165,636,,,,,,,,,,,,,,,,,,,,,,,,
Y82,SYVU,Syringa Vulgaris,410,0.041,20,20,no,0.031416,637,,,,,,,,,,,,,,,,,,,,,,,,
Y82,SYVU,Syringa Vulgaris,410,0.041,7.5,8,no,0.004417875,638,,,,,,,,,,,,,,,,,,,,,,,,
Y82,SYVU,Syringa Vulgaris,410,0.041,9.9,10,no,0.007697705,639,,,,,,,,,,,,,,,,,,,,,,,,
Y82,SYVU,Syringa Vulgaris,410,0.041,9.5,10,no,0.007088235,640,,,,,,,,,,,,,,,,,,,,,,,,
Y82,PRVI,Prunus Virginiana,410,0.041,10.5,11,no,0.008659035,641,,,,,,,,,,,,,,,,,,,,,,,,
Y82,MABA,Malus Baccata,410,0.041,39.8,40,no,0.124410502,642,,,,,,,,,,,,,,,,,,,,,,,,
Y82,MABA,Malus Baccata,410,0.041,33.2,33,no,0.08656993,643,,,,,,,,,,,,,,,,,,,,,,,,
Y82,HYQU,Hydrangea Quercifolia,410,0.041,9.7,10,no,0.007389829,644,,,,,,,,,,,,,,,,,,,,,,,,
Y82,EUAL,Euonymous Alatus,410,0.041,19.8,20,no,0.030790822,645,,,,,,,,,,,,,,,,,,,,,,,,
Y83,CTCO,Cotinus Coggygria,390,0.039,28.5,29,yes,0.063794115,682,,,,,,,,,,,,,,,,,,,,,,,,
Y83,EUAL,Euonymous Alatus,390,0.039,18.2,18,yes,0.02601559,684,,,,,,,,,,,,,,,,,,,,,,,,
Y83,EUAL,Euonymous Alatus,390,0.039,11.1,11,yes,0.009676913,685,,,,,,,,,,,,,,,,,,,,,,,,
Y83,EUAL,Euonymous Alatus,390,0.039,19,19,yes,0.02835294,686,,,,,,,,,,,,,,,,,,,,,,,,
Y83,EUAL,Euonymous Alatus,390,0.039,15.8,16,yes,0.019606726,687,,,,,,,,,,,,,,,,,,,,,,,,
Y83,EUAL,Euonymous Alatus,390,0.039,21,21,yes,0.03463614,688,,,,,,,,,,,,,,,,,,,,,,,,
Y83,EUAL,Euonymous Alatus,390,0.039,26.7,27,yes,0.055990381,689,,,,,,,,,,,,,,,,,,,,,,,,
Y83,CAAR,"Caragana Arborescens ""pendula""",390,0.039,6.1,6,yes,0.002922473,690,,,,,,,,,,,,,,,,,,,,,,,,
Y83,EUAT,Euonymus Atropurpureus,390,0.039,14,14,yes,0.01539384,691,,,,,,,,,,,,,,,,,,,,,,,,
Y83,EUAT,Euonymus Atropurpureus,390,0.039,15.2,15,yes,0.018145882,692,,,,,,,,,,,,,,,,,,,,,,,,
Y84,PYCO,Pyrus Communis,130,0.013,35.8,36,yes,0.100660006,699,,,,,,,,,,,,,,,,,,,,,,,,
Y84,JUCO,Juniperus Communis,130,0.013,19.8,20,yes,0.030790822,700,,,,,,,,,,,,,,,,,,,,,,,,
Y85,PRVI,Prunus Virginiana,160,0.016,36.4,36,no,0.104062358,701,,,,,,,,,,,,,,,,,,,,,,,,
Y85,PIPU,Picea Pungens,160,0.016,18.6,19,no,0.027171698,702,,,,,,,,,,,,,,,,,,,,,,,,
Y85,SYVU,Syngria Vulgaris,160,0.016,5.1,5,no,0.002042825,703,,,,,,,,,,,,,,,,,,,,,,,,
Y85,LATA,Lonicera Tatarica ,160,0.016,18,18,no,0.02544696,704,,,,,,,,,,,,,,,,,,,,,,,,
Y85,PRVI,Prunus Virginiana,160,0.016,17,17,no,0.02269806,705,,,,,,,,,,,,,,,,,,,,,,,,
Y85,COFL,Cornus Florida,160,0.016,10.1,10,no,0.008011865,706,,,,,,,,,,,,,,,,,,,,,,,,
Y85,SYVU,Syringa Vulgaris,160,0.016,18,18,no,0.02544696,707,,,,,,,,,,,,,,,,,,,,,,,,
Y85,PRAV,Prunus Avium,160,0.016,11.3,11,no,0.010028773,708,,,,,,,,,,,,,,,,,,,,,,,,
Y86,MABA,Malus Baccata (cultivar?),120,0.012,18.8,19,no,0.027759178,709,,,,,,,,,,,,,,,,,,,,,,,,
Y86,SYVU,Syngria Vulgaris,120,0.012,32.8,33,no,0.084496474,710,,,,,,,,,,,,,,,,,,,,,,,,
Y86,CECA,Cercis Canadensis,120,0.012,5.1,5,no,0.002042825,711,,,,,,,,,,,,,,,,,,,,,,,,
Y86,ABBA,Abies Balsamea,120,0.012,14.6,15,no,0.016741586,712,,,,,,,,,,,,,,,,,,,,,,,,
Y86,ACPL,Acer Platanoides,120,0.012,15.8,16,no,0.019606726,713,,,,,,,,,,,,,,,,,,,,,,,,
Y87,SYVU,Syngria Vulgaris,110,0.011,69.5,70,no,0.379367835,714,,,,,,,,,,,,,,,,,,,,,,,,
Y88,MGXXSO,Magnolia x Soulangeana,420,0.042,55.3,55,no,0.240182389,715,,,,,,,,,,,,,,,,,,,,,,,,
Y88,MGXXSO,Magnolia x Soulangeana,420,0.042,96,96,no,0.72382464,716,,,,,,,,,,,,,,,,,,,,,,,,
Y88,ACPL,Acer Platanoides,420,0.042,7.8,8,no,0.004778374,717,,,,,,,,,,,,,,,,,,,,,,,,
Y88,ULAM,Ulmus Americana,420,0.042,7.4,7,no,0.00430085,718,,,,,,,,,,,,,,,,,,,,,,,,
Y88,FRAM,Fraxinus Americana,420,0.042,27.5,28,no,0.059395875,719,,,,,,,,,,,,,,,,,,,,,,,,
Y88,ULAM,Ulmus Americana,420,0.042,12.5,13,no,0.012271875,720,,,,,,,,,,,,,,,,,,,,,,,,
Y88,EUAT,Euonymus Atropurpureus,420,0.042,9.9,10,no,0.007697705,721,,,,,,,,,,,,,,,,,,,,,,,,
Y88,ULAM,Ulmus Americana,420,0.042,8.1,8,no,0.005153009,722,,,,,,,,,,,,,,,,,,,,,,,,
Y88,THOC,Thuja Occidentalis,420,0.042,7,7,no,0.00384846,723,,,,,,,,,,,,,,,,,,,,,,,,
Y88,BEPA,Betula Papyrifera,420,0.042,84.5,85,no,0.560795235,724,,,,,,,,,,,,,,,,,,,,,,,,
Y88,ACPL,Acer Platanoides,420,0.042,5.4,5,no,0.002290226,725,,,,,,,,,,,,,,,,,,,,,,,,
Y88,ACPA,Acer Palmatum,420,0.042,46.1,46,no,0.166913993,726,,,,,,,,,,,,,,,,,,,,,,,,
Y88,ACPA,Acer Palmatum,420,0.042,65,65,no,0.3318315,727,,,,,,,,,,,,,,,,,,,,,,,,
Y88,JUCO,Juniperus Communis,420,0.042,9.8,10,no,0.007542982,728,,,,,,,,,,,,,,,,,,,,,,,,
Y89,SYVU,Syngria Vulgaris,290,0.029,29.3,29,no,0.067425805,729,,,,,,,,,,,,,,,,,,,,,,,,
Y89,ULAM,Ulmus Americana,290,0.029,103.4,103,no,0.839715122,730,,,,,,,,,,,,,,,,,,,,,,,,
Y89,JUSC,Juniperus Scopulorum,290,0.029,4.9,5,no,0.001885745,731,,,,,,,,,,,,,,,,,,,,,,,,
Y89,JUSC,Juniperus Scopulorum,290,0.029,4.6,5,no,0.001661906,732,,,,,,,,,,,,,,,,,,,,,,,,
Y90,TACA,Taxus Canadensis,140,0.014,13.4,13,no,0.014102642,733,,,,,,,,,,,,,,,,,,,,,,,,
Y90,TACA,Taxus Canadensis,140,0.014,17.9,18,no,0.025165001,734,,,,,,,,,,,,,,,,,,,,,,,,
Y91,PIPU,Picea Pungens,390,0.039,30.1,30,yes,0.071158025,773,,,,,,,,,,,,,,,,,,,,,,,,
Y92,ROPS,Robinia Pseudoacacia,340,0.034,4.5,5,no,0.001590435,774,,,,,,,,,,,,,,,,,,,,,,,,
Y92,CEJA,Cercidiphyllum Japonicum,340,0.034,5.3,5,no,0.002206189,775,,,,,,,,,,,,,,,,,,,,,,,,
Y92,PIPU,Picea Pungens,340,0.034,6.7,7,no,0.003525661,776,,,,,,,,,,,,,,,,,,,,,,,,
Y92,PIPU,Picea Pungens,340,0.034,5.4,5,no,0.002290226,777,,,,,,,,,,,,,,,,,,,,,,,,
Y93,PIPU,Picea Pungens,310,0.031,41.7,42,no,0.136572421,778,,,,,,,,,,,,,,,,,,,,,,,,
Y93,PIPU,Picea Pungens,310,0.031,27.7,28,no,0.060262957,779,,,,,,,,,,,,,,,,,,,,,,,,
Y93,PIPU,Picea Pungens,310,0.031,36.4,36,no,0.104062358,780,,,,,,,,,,,,,,,,,,,,,,,,
Y93,PIPU,Picea Pungens,310,0.031,26.3,26,no,0.054325333,781,,,,,,,,,,,,,,,,,,,,,,,,
