Yard Code,Species Code,Species Latin,Sampled area (m) ,Sampled Area (ha),DBH(cm) ,DBH Round,Presence of hedge ,basal,Index,,,,,,,,,,,,,,,,,,,,,,,,
Y26,THOC,Thuja Occidentalis,140,0.014,55.3,55,no,0.240182389,171,,,,,,,,,,,,,,,,,,,,,,,,
Y26,THOC,Thuja Occidentalis,140,0.014,17.8,18,no,0.024884614,172,,,,,,,,,,,,,,,,,,,,,,,,
Y27,PRCR,Prunus Cerasus 'Montmorency',250,0.025,22.8,23,no,0.040828234,173,,,,,,,,,,,,,,,,,,,,,,,,
Y27,SYVU,Syringa Vulgaris,250,0.025,7.5,8,no,0.004417875,174,,,,,,,,,,,,,,,,,,,,,,,,
Y27,PIPU,Picea Pungens,250,0.025,31.2,31,no,0.076453978,175,,,,,,,,,,,,,,,,,,,,,,,,
Y27,PIPU,Picea Pungens,250,0.025,54.4,54,no,0.232428134,176,,,,,,,,,,,,,,,,,,,,,,,,
Y27,AMCA,Amelanchier Canadensis,250,0.025,23.2,23,no,0.04227337,177,,,,,,,,,,,,,,,,,,,,,,,,
Y28,ACPL,Acer Platanoides,370,0.037,30.8,31,no,0.074506186,178,,,,,,,,,,,,,,,,,,,,,,,,
Y28,ACPL,Acer Platanoides,370,0.037,31.4,31,no,0.077437298,179,,,,,,,,,,,,,,,,,,,,,,,,
Y28,PIGL,Picea Glauca,370,0.037,35,35,no,0.0962115,180,,,,,,,,,,,,,,,,,,,,,,,,
Y28,ACPL,Acer Platanoides,370,0.037,14,14,no,0.01539384,181,,,,,,,,,,,,,,,,,,,,,,,,
Y28,ACPL,Acer Platanoides,370,0.037,32.2,32,no,0.081433414,182,,,,,,,,,,,,,,,,,,,,,,,,
Y28,FRAM,Fraxinus Americana,370,0.037,62.1,62,no,0.302882441,183,,,,,,,,,,,,,,,,,,,,,,,,
Y28,ACSA,Acer Saccharinum,370,0.037,32.3,32,no,0.081939997,184,,,,,,,,,,,,,,,,,,,,,,,,
Y28,TACA,Taxus Canadensis,370,0.037,16.4,16,no,0.021124118,185,,,,,,,,,,,,,,,,,,,,,,,,
Y29,PIRU,Picea Rubens,420,0.042,57.1,57,yes,0.256072601,186,,,,,,,,,,,,,,,,,,,,,,,,
Y29,RHTY,Rhus Typhina,420,0.042,7.6,8,yes,0.00453647,187,,,,,,,,,,,,,,,,,,,,,,,,
Y29,JUCO,Juniperus Communis,420,0.042,7.7,8,yes,0.004656637,189,,,,,,,,,,,,,,,,,,,,,,,,
Y29,MGXXSN,Magnolia x Sunsation ,420,0.042,16.7,17,yes,0.021904021,190,,,,,,,,,,,,,,,,,,,,,,,,
Y29,TACA,Taxus Canadensis,420,0.042,6.4,6,yes,0.003216998,193,,,,,,,,,,,,,,,,,,,,,,,,
Y29,TACA,Taxus Canadensis,420,0.042,6.5,7,yes,0.003318315,194,,,,,,,,,,,,,,,,,,,,,,,,
Y30,MOAL,Morus Alba,280,0.028,17.5,18,no,0.024052875,195,,,,,,,,,,,,,,,,,,,,,,,,
Y31,ACPL,Acer Platanoides,210,0.021,40.4,40,no,0.128189846,196,,,,,,,,,,,,,,,,,,,,,,,,
Y31,ACPL,Acer Platanoides,210,0.021,17.4,17,no,0.02377877,197,,,,,,,,,,,,,,,,,,,,,,,,
Y31,ACPL,Acer Platanoides,210,0.021,7.3,7,no,0.004185397,198,,,,,,,,,,,,,,,,,,,,,,,,
Y31,ACPL,Acer Platanoides,210,0.021,30.7,31,no,0.074023165,199,,,,,,,,,,,,,,,,,,,,,,,,
Y31,ACPL,Acer Platanoides,210,0.021,17,17,no,0.02269806,200,,,,,,,,,,,,,,,,,,,,,,,,
Y31,ACPL,Acer Platanoides,210,0.021,40.4,40,no,0.128189846,201,,,,,,,,,,,,,,,,,,,,,,,,
Y32,MASY,Malus Sylvestris,230,0.023,36.4,36,yes,0.104062358,202,,,,,,,,,,,,,,,,,,,,,,,,
Y32,SYVU,Syringa Vulgaris,230,0.023,13.8,14,yes,0.014957158,203,,,,,,,,,,,,,,,,,,,,,,,,
Y33,SYRE,Syringa Reticulata,360,0.036,20.1,20,yes,0.031730945,209,,,,,,,,,,,,,,,,,,,,,,,,
Y33,ACSC,Acer Saccharum,360,0.036,53.2,53,yes,0.22228705,210,,,,,,,,,,,,,,,,,,,,,,,,
Y33,ACSA,Acer Saccharinum,360,0.036,58.9,59,yes,0.272471753,211,,,,,,,,,,,,,,,,,,,,,,,,
Y33,ACSA,Acer Saccharinum,360,0.036,62.1,62,yes,0.302882441,212,,,,,,,,,,,,,,,,,,,,,,,,
Y33,ACSA,Acer Saccharinum,360,0.036,84.7,85,yes,0.563453029,213,,,,,,,,,,,,,,,,,,,,,,,,
Y33,PIPU,Picea Pungens,360,0.036,16.6,17,yes,0.021642482,214,,,,,,,,,,,,,,,,,,,,,,,,
Y33,ACPL,Acer Platanoides,360,0.036,59.2,59,yes,0.275254426,215,,,,,,,,,,,,,,,,,,,,,,,,
Y33,PIPU,Picea Pungens,360,0.036,48.3,48,yes,0.183225181,216,,,,,,,,,,,,,,,,,,,,,,,,
Y33,TACA,Taxus Canadensis,360,0.036,20.4,20,yes,0.032685206,220,,,,,,,,,,,,,,,,,,,,,,,,
Y34,ACSA,Acer Saccharinum,120,0.012,74.2,74,no,0.432412966,221,,,,,,,,,,,,,,,,,,,,,,,,
Y34,THOC,Thuja Occidentalis,120,0.012,12.6,13,no,0.01246901,222,,,,,,,,,,,,,,,,,,,,,,,,
Y34,THOC,Thuja Occidentalis,120,0.012,13.9,14,no,0.015174713,223,,,,,,,,,,,,,,,,,,,,,,,,
Y35,PIAB,Picea Abies,180,0.018,33.4,33,no,0.087616082,224,,,,,,,,,,,,,,,,,,,,,,,,
Y35,ACPL,Acer Platanoides,180,0.018,51.9,52,no,0.211556129,225,,,,,,,,,,,,,,,,,,,,,,,,
Y35,ACNE,Acer Negundo,180,0.018,28.6,29,no,0.064242578,226,,,,,,,,,,,,,,,,,,,,,,,,
Y35,JURE,Juglans Regia,180,0.018,5.9,6,no,0.002733977,227,,,,,,,,,,,,,,,,,,,,,,,,
Y35,EUAL,Euonymous Alatus,180,0.018,8.5,9,no,0.005674515,228,,,,,,,,,,,,,,,,,,,,,,,,
Y36,PIRU,Picea Rubens,260,0.026,28.7,29,no,0.064692613,229,,,,,,,,,,,,,,,,,,,,,,,,
Y36,FRPE,Fraxinus Pennsylvanica,260,0.026,70.7,71,no,0.392581405,230,,,,,,,,,,,,,,,,,,,,,,,,
Y36,FRPE,Fraxinus Pennsylvanica,260,0.026,55,55,no,0.2375835,231,,,,,,,,,,,,,,,,,,,,,,,,
Y36,AMGR,Amelanchier x Grandiflora,260,0.026,5.5,6,no,0.002375835,232,,,,,,,,,,,,,,,,,,,,,,,,
Y37,ACNE,Acer Negundo,120,0.012,57.9,58,no,0.263298281,233,,,,,,,,,,,,,,,,,,,,,,,,
